kode_aturan,BARIS_ASLI,TGL,KODE,NAMA_BARANG,QTY,SATUAN_K,HARGA,JUMLAH,PELANGGAN,SKOR_ANOMALI,kategori,tingkat,deskripsi,tindakan,saran
R01,127,2020-04-03,DEN-006,DEN BAGUS NANO NANO X 20 PACK,1.0,BAL,140000.0,140000.0,TOKO CITA RASA BARU,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,174,2020-04-04,DEN-006,DEN BAGUS NANO NANO X 20 PACK,5.0,PACK,9000.0,45000.0,KEDAI PEPI,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,216,2020-04-06,DEN-006,DEN BAGUS NANO NANO X 20 PACK,5.0,PACK,9000.0,45000.0,TOKO ALIF,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,223,2020-04-06,DEN-006,DEN BAGUS NANO NANO X 20 PACK,10.0,PACK,9000.0,90000.0,TOKO DENIS,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,230,2020-04-06,DEN-006,DEN BAGUS NANO NANO X 20 PACK,5.0,PACK,9000.0,45000.0,TOKO ALZENA,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,242,2020-04-07,DEN-006,DEN BAGUS NANO NANO X 20 PACK,1.0,BAL,180000.0,180000.0,FARDAN FROZEN,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,244,2020-04-07,DEN-006,DEN BAGUS NANO NANO X 20 PACK,1.0,BAL,180000.0,180000.0,KUALU BERKAT,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,247,2020-04-07,DEN-006,DEN BAGUS NANO NANO X 20 PACK,1.0,BAL,180000.0,180000.0,ANNISA / SAIIN,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,291,2020-04-09,BLF-016,BELFOODS FAV.AYAM GORENG RENYAH 500GRX12,7.0,DUS,436800.0,3057600.0,ADEK FROZEN,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,293,2020-04-09,DEN-006,DEN BAGUS NANO NANO X 20 PACK,2.0,PACK,9000.0,18000.0,FADIL ANAK BOS,1,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,333,2020-04-09,DEN-006,DEN BAGUS NANO NANO X 20 PACK,5.0,PACK,10000.0,50000.0,TOKO NURHADI,3,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,349,2020-04-09,DEN-006,DEN BAGUS NANO NANO X 20 PACK,10.0,PACK,10000.0,100000.0,TOKO AQILA,3,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
R01,356,2020-04-09,DEN-006,DEN BAGUS NANO NANO X 20 PACK,3.0,PACK,10000.0,30000.0,SRC BUNDA,3,referensial,info,Kode barang punya >1 ejaan nama (sudah diseragamkan),perbaiki,Perbaiki master barang di sistem sumber agar ejaannya tunggal.
