BARIS_ASLI,TGL,BULAN,HARI,KODE,NAMA_BARANG,BRAND,QTY,SATUAN,HARGA,HARGA_EFEKTIF,OMZET,RASIO,PELANGGAN,SUMBER_HARGA,TINGKAT_TERTINGGI,SKOR_ANOMALI,FLAG
116,2020-04-03,2020-04-01,Friday,KEI-002,KEI LOVE X 50 PACK,KEI,6.0,BAL,200000.0,200000.0,1200000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
117,2020-04-03,2020-04-01,Friday,KEI-003,KEI PANJANG X 30 PACK,KEI,1.0,BAL,144000.0,144000.0,144000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
118,2020-04-03,2020-04-01,Friday,DEN-001,DEN BAGUS IKAN ISI 32 X 20 PACK,DEN,1.0,BAL,200000.0,200000.0,200000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
119,2020-04-03,2020-04-01,Friday,DEN-002,DEN BAGUS BINTANG ISI 13 X 50 PACK,DEN,1.0,BAL,200000.0,200000.0,200000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
120,2020-04-03,2020-04-01,Friday,DEN-003,DEN BAGUS AYAM ISI 13 X 50 PACK,DEN,1.0,BAL,200000.0,200000.0,200000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
121,2020-04-03,2020-04-01,Friday,DEN-004,DEN BAGUS STICK ISI 32 X 30 PACK,DEN,1.0,BAL,300000.0,300000.0,300000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
122,2020-04-03,2020-04-01,Friday,LUTOSA-002,LUTOSA SHOESTRING 2.5 KG X 4 PACK,LUTOSA,10.0,DUS,225000.0,225000.0,2250000.0,1.0,TOKO CITA RASA BARU,asli,peringatan,2,R02
123,2020-04-03,2020-04-01,Friday,EURIAL-001,EURIAL MOZZARELLA CHEESE 4 X 2.5 KG,EURIAL,1.0,DUS,840000.0,840000.0,840000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
124,2020-04-03,2020-04-01,Friday,OKEY-001,OKEY SOSIS 500 GR X 20 PACK,OKEY,5.0,DUS,330000.0,330000.0,1650000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
125,2020-04-03,2020-04-01,Friday,CHA-006,CHAMP BASO 500 GR X 10 PACK,CHAMP,2.0,DUS,215000.0,215000.0,430000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
126,2020-04-03,2020-04-01,Friday,DEN-005,DEN BAGUS STICK PANJANG X 50 PACK,DEN,1.0,BAL,200000.0,200000.0,200000.0,1.0,TOKO CITA RASA BARU,asli,bersih,0,
127,2020-04-03,2020-04-01,Friday,DEN-006,DEN BAGUS NANO NANO X 20 PACK,DEN,1.0,BAL,140000.0,140000.0,140000.0,1.0,TOKO CITA RASA BARU,asli,info,1,R01
